지역구,읍면동,등록인구,65세이상 고령자,수급권자수,미성년수,직장인수,5분이내도보접근의료시설수평균,등록인구비율,병원 및 요양병원수,병원 및 요양병원 의사수,의원수,의원 의사수,치과수,치과 의사수,약국수,약사 수,일일환자수,월 요양급여비용,환자건수,총진료비,건강보험료 건수 합계,건강보험료 금액 합계
기흥구,구갈동,0.027993762558386363,0.021111189443123485,0.04929349688868291,0.0383288297651216,0.027993762558386367,0.03986102297400463,0.01887683417628058,0.02577196522270642,0.0332576833623285,0.02091608341576198,0.024933031358410407,0.023420692483656674,0.022034413711222063,0.023420692483656674,0.023420692483656674,0.025021846152814466,0.04489014896301634,0.022551418288592976,0.022673354989261527,0.022551418288592976,0.022684063502083365
기흥구,구성동,0.034310686450305945,0.042226651541467194,0.06614626328163091,0.04092407280933575,0.034310686450305945,0.03395966797048883,0.023136480394370985,0.031587530119260965,0.04076243568646549,0.02563589579463878,0.030559286891493048,0.028705681652466727,0.02700658256942938,0.028705681652466727,0.028705681652466727,0.030668143161049183,0.055019821739402584,0.02764025165591067,0.027789703945316123,0.02764025165591067,0.027802828884309683
기흥구,기흥동,0.01866900960288175,0.019567906377578815,0.033082786620129666,0.019122843483683226,0.018669009602881752,0.01411846492739694,0.012588940045982244,0.017187295392119478,0.022179512624140117,0.013948913131241641,0.016627811316477312,0.015619234176598327,0.01469472638094655,0.015619234176598327,0.015619234176598327,0.016687041805631787,0.02993719119812567,0.015039516167583502,0.015120835619764213,0.015039516167583502,0.01512797711524152
기흥구,동백1동,0.028283004202418353,0.023933705481603017,0.06725175841310757,0.04376280547554711,0.028283004202418357,0.022507276277928073,0.019071876430421245,0.026038250455904483,0.0336013137332853,0.021132195928014207,0.025190648424561,0.02366268351948873,0.02226208121514627,0.02366268351948873,0.02366268351948873,0.02528038088543073,0.045353970161035824,0.022784427670145067,0.022907624264752336,0.022784427670145067,0.022918443421788122
기흥구,동백2동,0.023287124061457314,0.020411328518050904,0.023562977016321738,0.03554948481159248,0.02328712406145732,0.022164698074306724,0.01570304021954031,0.02143888125781554,0.02766601298556743,0.0173994270461768,0.020740998758581212,0.01948293196867039,0.018329730583536166,0.01948293196867039,0.01948293196867039,0.02081488097185878,0.03734269253226525,0.018759810309634688,0.018861245587232366,0.018759810309634688,0.018870153659738723
기흥구,동백3동,0.020121561256806066,0.02709461581352424,0.011837004639217559,0.03639279033168037,0.020121561256806073,0.03870561390275607,0.013568428839116877,0.01852456152885419,0.023905200726012273,0.015034215312247759,0.017921546514147492,0.016834496524138556,0.01583805693584189,0.016834496524138556,0.016834496524138556,0.01798538546121238,0.03226646937161666,0.016209673264726613,0.016297319817662744,0.016209673264726613,0.01630501696077684
기흥구,동백동,0.06580355098084574,0.045620742032032105,0.00017861711731282615,0.0,0.06580355098084575,0.0,0.04437283903816367,0.06058088204012762,0.07817718886746026,0.0491664012116295,0.05860884176173989,0.05505386168224504,0.05179520484091102,0.05505386168224504,0.05505386168224504,0.058817614299523306,0.10552104954325506,0.05301050189122362,0.053297132453376306,0.05301050189122362,0.05332230442402266
기흥구,마북동,0.027420959957275545,0.03750622205416445,0.023374704919694705,0.02845265314606408,0.027420959957275556,0.036521907592963296,0.018490580285101813,0.02524462458085757,0.0325771714984042,0.02048810282685004,0.024422856808423148,0.022941463100094008,0.021583550078246118,0.022941463100094008,0.022941463100094008,0.024509854292805174,0.043971615984941745,0.02208997581448818,0.02220941747151377,0.02208997581448818,0.02221990686895283
기흥구,보라동,0.028857321653383342,0.03567752561990887,0.04173364808565897,0.03601864774178223,0.028857321653383346,0.02210845031503048,0.019459151819494046,0.02656698571763259,0.034283625298006756,0.021561308366417488,0.02570217219649864,0.02414318028654511,0.022714137214754862,0.02414318028654511,0.02414318028654511,0.02579372677349955,0.04627493231723425,0.023247090487983037,0.02337278872469579,0.023247090487983037,0.023383827576593054
기흥구,보정동,0.030903694450145187,0.037839489161341874,0.01548658681998774,0.03958784927398521,0.030903694450145184,0.05018888002922147,0.020839067787087048,0.028450942847041014,0.03671479611236373,0.023090295548027846,0.027524802398717588,0.025855256963623358,0.02432487548965435,0.025855256963623358,0.025855256963623358,0.02762284942841539,0.04955644831526801,0.024895622328528672,0.02503023426330736,0.024895622328528672,0.02504205591849113
기흥구,상갈동,0.03685232047126789,0.03697384921372463,0.025851207113788754,0.010018707129494908,0.036852320471267894,0.03687438397830391,0.02485036232969225,0.03392744078544811,0.043781996180192365,0.02753492701932324,0.03282302834511419,0.03083211352052286,0.02900715021029532,0.03083211352052286,0.03083211352052286,0.03293994836467718,0.05909552716029719,0.029687759625719463,0.02984828289803322,0.029687759625719463,0.0298623800936302
기흥구,상하동,0.021241224655274907,0.020431837263107974,0.037557869532264525,0.02187249458087122,0.021241224655274907,0.0274414020303657,0.014323443470039176,0.019555359947119384,0.025235404577709574,0.015870793567532484,0.01891879018822176,0.017771251348933932,0.01671936492320939,0.017771251348933932,0.017771251348933932,0.018986181450711535,0.03406193565239519,0.017111659826505674,0.01720418346805695,0.017111659826505674,0.017212308918363894
기흥구,서농동,0.01952253281759481,0.009871542620803989,0.03646685686975915,0.029361285150102445,0.019522532817594813,0.04080718779295123,0.013164490265647776,0.017973076530345487,0.02319353154203723,0.01458663957901704,0.017388013559144287,0.016333325563840876,0.015366550455537963,0.016333325563840876,0.016333325563840876,0.0174499519904225,0.03130588124727319,0.015727103589741314,0.01581214086315199,0.015727103589741314,0.01581960885865834
