,지역구,읍면동,등록인구,65세이상 고령자,수급권자수,미성년수,직장인수,5분이내도보접근의료시설수평균,등록인구비율,병원 및 요양병원수,병원 및 요양병원 의사수,의원수,의원 의사수,치과수,치과 의사수,약국수,약사 수,일일환자수,월 요양급여비용,환자건수,총진료비,건강보험료 건수 합계,건강보험료 금액 합계
0,기흥구,구갈동,32852.555555555555,2745.0,785.4615384615385,6454.0,25049.653336095213,10.168108776266996,0.05663050252884173,21.519590960959857,179.2921710063129,14.327517139796957,32.56253895408399,14.497408647383482,18.178391311758197,14.497408647383482,14.497408647383482,3.528080307546839,766857.0231405903,620880.0104669696,42402180.906297855,620880.0104669696,31564397.97513139
1,기흥구,구성동,40265.88888888889,5490.555555555556,1054.0,6891.0,30702.22516573225,8.662737987307343,0.0694094411831129,26.375587649582904,219.75029078573544,17.560588619327564,39.91042868028992,17.768816942876903,22.28043061977924,17.768816942876903,17.768816942876903,4.324208185707934,939901.9091597404,760984.4985276185,51970432.01501659,760984.4985276185,38687052.50530752
2,기흥구,기흥동,21909.33333333333,2544.333333333333,527.1538461538462,3220.0,16705.586385718674,3.601465201465201,0.03776682013794674,14.35139165241976,119.56975255673936,9.555005494900524,21.71592157931937,9.668305955314365,12.123149264280904,9.668305955314365,9.668305955314365,2.3528728945940816,511416.10918465373,414064.19924686704,28277968.024903983,414064.19924686704,21050262.453211173
3,기흥구,동백1동,33192.0,3112.0,1071.6153846153843,7369.0,25308.475382551165,5.741358760429082,0.05721562929126377,21.741939130680237,181.14468233614107,14.475554210689731,32.89898684247667,14.647201098563524,18.36621700249567,14.647201098563524,14.647201098563524,3.5645337048457324,774780.4662879,627295.1665075164,42840295.5216626,627295.1665075164,31890532.711187866
4,기흥구,동백2동,27329.0,2654.0,375.46153846153845,5986.0,20838.01288653112,5.653970826580227,0.04710912065862098,17.901465850275972,149.14747600519402,11.918607526631108,27.087744378707065,12.059934888606971,15.122027731417337,12.059934888606971,12.059934888606971,2.934898217032087,637924.0589052187,516490.40749228484,35273030.73968177,516490.40749228484,26257422.52542942
5,기흥구,동백3동,23614.0,3523.0,188.6153846153846,6128.0,18005.372911652303,9.873376623376624,0.04070528651735065,15.468008876593249,128.87293711393215,10.298437488889714,23.405539747476624,10.420553348441766,13.066396972069558,10.420553348441766,10.420553348441766,2.5359393500309455,551207.0960147768,446280.67190613685,30478149.507367462,446280.67190613685,22688088.679259773
6,기흥구,동백동,77224.875,5931.875,2.8461538461538463,0.0,58882.97926783836,0.0,0.13311851711449094,50.58503650350656,421.4532251844783,33.678984829966204,76.54314734083229,34.07834038130968,42.73104399375159,34.07834038130968,34.07834038130968,8.293283616232785,1802612.8181948902,1459471.8854436956,99672706.27330244,1459471.8854436956,74196866.78431231
7,기흥구,마북동,32180.33333333333,4876.777777777777,372.46153846153845,4791.0,24537.092491231542,9.31633714880333,0.05547174085530544,21.07926152501607,175.62353154789704,14.034350436392277,31.89625099180063,14.200765658958192,17.806428814553048,14.200765658958192,14.200765658958192,3.455889455285529,751165.7527506643,608175.6916305348,41534556.21793232,608175.6916305348,30918533.767883703
8,기흥구,보라동,33866.0,4639.0,665.0,6065.0,25822.391760227696,5.639622641509434,0.05837745545848213,22.18343307422321,184.82302398155443,14.769496230995978,33.56703688862722,14.944628597371423,18.73916320217276,14.944628597371423,14.944628597371423,3.6369154750634363,790513.2342524108,640033.0835425269,43710214.75465853,640033.0835425269,32538104.98906629
9,기흥구,보정동,36267.55555555556,4920.111111111111,246.7692307692308,6666.0,27653.54714880346,12.802631578947368,0.06251720336126117,23.756537277279243,197.9294658417529,15.816852450399075,35.94739193272517,16.00440406048286,20.06802227896484,16.00440406048286,16.00440406048286,3.8948217694065703,846571.2703198256,685420.0500434692,46809857.732234165,685420.0500434692,34845494.90236406
