,Unnamed: 0,지역구,읍면동,등록인구,65세이상 고령자,수급권자수,미성년수,직장인수,5분이내도보접근의료시설수평균
0,0,기흥구,구갈동,32852.555555555555,2745.0,785.4615384615385,6454.0,25049.653336095213,10.168108776266996
1,1,기흥구,구성동,40265.88888888889,5490.555555555556,1054.0,6891.0,30702.22516573225,8.662737987307343
2,2,기흥구,기흥동,21909.33333333333,2544.333333333333,527.1538461538462,3220.0,16705.586385718674,3.6014652014652015
3,3,기흥구,동백1동,33192.0,3112.0,1071.6153846153843,7369.0,25308.475382551165,5.741358760429082
4,4,기흥구,동백2동,27329.0,2654.0,375.46153846153845,5986.0,20838.01288653112,5.653970826580227
5,5,기흥구,동백3동,23614.0,3523.0,188.6153846153846,6128.0,18005.372911652303,9.873376623376624
6,6,기흥구,동백동,77224.875,5931.875,2.8461538461538463,,58882.97926783836,
7,7,기흥구,마북동,32180.33333333333,4876.777777777777,372.46153846153845,4791.0,24537.092491231542,9.31633714880333
8,8,기흥구,보라동,33866.0,4639.0,665.0,6065.0,25822.391760227696,5.639622641509434
9,9,기흥구,보정동,36267.55555555556,4920.111111111111,246.7692307692308,6666.0,27653.54714880346,12.802631578947368
10,10,기흥구,상갈동,43248.66666666666,4807.555555555556,411.9230769230769,1687.0,32976.55506331328,9.40625
11,11,기흥구,상하동,24928.0,2656.6666666666665,598.4615384615385,3683.0,19007.28110195937,7.0
12,12,기흥구,서농동,22911.0,1283.5555555555557,581.0769230769231,4944.0,17469.34440496595,10.409465020576132
13,13,기흥구,신갈동,37351.0,4086.0,1110.2307692307693,5706.0,28479.65967744241,9.434757167934464
14,14,기흥구,영덕1동,30943.0,2708.0,797.3076923076923,5737.0,23593.64165347917,10.76271186440678
15,15,기흥구,영덕2동,17715.0,2130.0,93.23076923076924,3238.0,13507.460876171785,8.684947491248542
16,16,기흥구,영덕동,44323.0,3418.625,0.0,,33795.720486286315,
17,17,수지구,동천동,38852.444444444445,3864.0,188.69230769230768,10341.0,29624.49185870568,2.9622551361681797
18,18,수지구,상현1동,47327.66666666666,5026.111111111111,90.0,4219.0,36086.740381625714,12.404255319148936
19,19,수지구,상현2동,33159.22222222222,4229.888888888889,143.30769230769232,6616.0,25283.482746314006,12.423220973782772
20,20,수지구,성복동,40027.333333333336,6395.0,165.69230769230768,11280.0,30520.32960640625,9.44946025515211
21,21,수지구,신봉동,36281.55555555556,4562.777777777777,196.23076923076923,8436.0,27664.221969704755,5.788602941176471
22,22,수지구,죽전1동,59667.88888888889,6033.666666666667,239.15384615384616,5070.0,45496.00196050984,12.196273291925467
23,23,수지구,죽전2동,19515.444444444445,1962.7777777777776,105.6923076923077,2556.0,14880.276732398384,17.309248554913296
24,24,수지구,풍덕천1동,36823.22222222222,3803.444444444444,472.1538461538461,5338.0,28077.235873623824,17.880817253121453
25,25,수지구,풍덕천2동,41448.0,3436.222222222222,223.15384615384616,9304.0,31603.56976548508,18.423841059602648
26,26,처인구,남사면,12968.111111111111,2183.333333333333,,,9888.018824227036,
27,27,처인구,동부동,14587.444444444443,1734.0,466.61538461538464,1415.0,11122.739775143256,1.5189469485440765
28,28,처인구,모현읍,26602.0,3412.333333333333,752.6153846153846,3638.0,20283.684686871115,0.9385949069893444
29,29,처인구,백암면,9520.444444444443,2184.333333333333,286.2307692307692,555.0,7259.217096082437,0.9761202039173598
30,30,처인구,양지면,18048.666666666668,2357.4444444444443,476.2307692307692,2780.0,13761.877440985934,0.9156281576288312
31,31,처인구,역삼동,34115.555555555555,2910.222222222222,2.3076923076923075,,26012.67467883329,4.197683397683398
32,32,처인구,원삼면,8421.555555555555,1860.2222222222224,127.15384615384616,898.0,6421.328376131742,0.8210640608034745
33,33,처인구,유림동,34143.666666666664,3070.1111111111118,918.4615384615385,6636.0,26034.109041436677,3.03078106964217
34,34,처인구,이동읍,21631.777777777777,3018.333333333333,557.0,2734.0,16493.953825310502,0.8748637453673425
35,35,처인구,중앙동,25960.777777777777,2821.4444444444443,718.3846153846154,3054.0,19794.76094543173,3.934718100890208
36,36,처인구,포곡읍,34343.0,3633.1111111111113,923.6923076923076,4950.0,26186.09815807889,1.8848907309721175
