지역,사업장명,의사수,위도,경도
수지구,코알라이비인후과의원,1,37.2976750233,127.0697533954
수지구,김병연소아청소년과의원,1,37.2983878864,127.0699637146
수지구,아름다운피부과의원,1,37.2981442289,127.0698861201
처인구,박홍수내과의원,6,37.2370383492,127.2089264087
처인구,우리가정의원,1,37.2354889948,127.2057080586
처인구,동서의원,1,37.1403049454,127.1969456003
처인구,서울산부인과의원,1,37.2364221748,127.2039907925
처인구,신미주우리들의원,1,37.1921697117,127.2066537144
처인구,범세이비인후과의원,1,37.2695637746,127.2175536632
처인구,유사랑의원,1,37.2347971662,127.2139856421
처인구,참안과의원,1,37.2353932233,127.207072559
처인구,다솜이비인후과의원,1,37.2346690358,127.2094879281
처인구,늘푸른연세미의원,1,37.2346356071,127.2032762626
처인구,모현누리소아청소년과의원,1,37.3366356578,127.2491825849
처인구,성모의원,1,37.1676084693,127.2384109707
처인구,하람비뇨기과의원,1,37.2353932233,127.207072559
처인구,중앙성심의원,1,37.1389658368,127.1985160066
처인구,연세소리이비인후과의원,3,37.2362691374,127.1899779162
처인구,용인아산내과의원,7,37.2354412151,127.2082561216
처인구,모현우리이비인후과의원,1,37.3371875556,127.2501516032
기흥구,친구들소아청소년과의원,3,37.2759130636,127.0715918075
기흥구,현산부인과의원,1,37.3202924261,127.114668593
처인구,성모이비인후과의원,1,37.2350018903,127.1984045774
처인구,동진정형외과의원,1,37.2345514671,127.209330548
처인구,현대정형외과의원,3,37.3367181447,127.2498257793
처인구,김내과의원,1,37.2364221748,127.2039907925
처인구,삼정가정의원,1,37.2484932671,127.2270475712
처인구,이진용소아과의원,1,37.2358665397,127.1981305605
처인구,연세항외과의원,1,37.2346356071,127.2032762626
기흥구,두리이비인후과의원,2,37.2765156269,127.0737090085
기흥구,아이앤미가정의학과의원,1,37.2964314255,127.1521140636
기흥구,서울내과의원,2,37.2765156269,127.0737090085
기흥구,미래의원,1,37.2437121872,127.0658209559
기흥구,24까페거리의원,2,37.3218530323,127.109536482
기흥구,보바스어린이의원,12,37.2739540026,127.1501984866
수지구,연세이비인후과의원,1,37.3073759262,127.0854512638
수지구,광교JC정형외과의원,1,37.2979005714,127.069808526
기흥구,아산신경외과의원,2,37.3003023414,127.1072783973
수지구,염광피부과의원,4,37.3373045384,127.0887638358
수지구,성모웰피부과의원,3,37.3231017192,127.0948684138
수지구,벧엘의원,1,37.3261908084,127.0967255215
수지구,최원석유에스준의원,3,37.322536172,127.095548655
기흥구,서울정형외과의원,1,37.2770102362,127.1534329772
기흥구,코아이비인후과의원,1,37.2699544713,127.1541758912
기흥구,굿모닝안과의원,1,37.2770102362,127.1534329772
기흥구,늘편한내과의원,1,37.2779963615,127.1515897965
기흥구,뉴밸런스재활의학과의원,2,37.2543217861,127.1098852831
기흥구,삼성드림소아청소년과의원,1,37.2712366915,127.1281491236
수지구,광교미소모아내과의원,3,37.2969589969,127.0686743132
수지구,본이비인후과의원,1,37.2983878864,127.0699637146
수지구,광교서울이비인후과의원,1,37.2982005648,127.0705063702
