지역,사업장명,의사수,위도,경도
기흥구,죽전사과나무치과의원,1.0,37.32074315,127.1146776
기흥구,보라심미치과의원,1.0,37.25426562,127.1092541
기흥구,나노치과보존과치과의원,1.0,37.32024807,127.1093868
처인구,용인쥬니어치과의원,4.0,37.23464558,127.2036595
기흥구,당신을위한치과의원,1.0,37.25359982,127.1096296
기흥구,연세미소라인치과교정과치과의원,1.0,37.32077072,127.1120815
처인구,민들레치과의원,1.0,37.23221673,127.188033
수지구,성모고운이치과의원,1.0,37.32716423,127.1128952
수지구,이레치과의원,1.0,37.32317795,127.0779942
처인구,연세플라워치과의원,1.0,37.23626914,127.1899779
처인구,미소진치과의원,1.0,37.23919972,127.1735843
처인구,수치과의원,1.0,37.23471307,127.1947418
처인구,현대치과의원,1.0,37.23466904,127.2094879
수지구,샘치과의원,1.0,37.32673752,127.1119606
처인구,아주웰치과의원,1.0,37.23482631,127.2038392
수지구,윤치과의원,1.0,37.32451633,127.0947028
수지구,서인석치과의원,1.0,37.32508667,127.0954221
수지구,서울치과의원,1.0,37.32487025,127.0980419
수지구,패밀리치과의원,1.0,37.32861103,127.1142988
기흥구,e화이트치과의원,1.0,37.31949189,127.1151919
기흥구,동백서울치과의원,2.0,37.28168162,127.1603943
수지구,연세W치과의원,1.0,37.3287952,127.1154943
기흥구,김앤진치과의원,2.0,37.27588541,127.1449557
기흥구,박하치과의원,3.0,37.23715704,127.0727131
수지구,광교치과의원,1.0,37.29607775,127.0692548
기흥구,365일이가편한연세치과의원,2.0,37.3039632,127.1243095
기흥구,좋은솜씨죽전치과의원,3.0,37.32078071,127.1151401
기흥구,베일러연합치과의원,1.0,37.23894339,127.1097278
기흥구,탑실피오레치과의원,1.0,37.2388998,127.110179
기흥구,뉴욕다나치과의원,1.0,37.27676929,127.0715644
수지구,G7치과의원,1.0,37.30676003,127.0846083
수지구,서울삼성치과교정과치과의원,1.0,37.32235393,127.094974
기흥구,유앤아이시카고치과의원,3.0,37.27591306,127.0715918
수지구,이랑사랑치과의원,1.0,37.33597205,127.0918191
수지구,참좋은치과의원,1.0,37.3136474,127.0797177
기흥구,센트럴치과의원,1.0,37.27591306,127.0715918
수지구,보스톤서울치과의원,1.0,37.3157925,127.0746159
처인구,서울뿌리치과의원,1.0,37.23233096,127.1869164
처인구,올리브치과의원,1.0,37.23434556,127.1955437
처인구,햇살치과의원,1.0,37.23490981,127.2158454
기흥구,연세웰키즈치과의원,2.0,37.32027179,127.1138674
수지구,미소가담긴치과의원,1.0,37.32332893,127.0773613
처인구,성모치과의원,1.0,37.13827919,127.1978995
처인구,밝은미소치과의원,1.0,37.23474811,127.284469
수지구,행복치과의원,3.0,37.3359679,127.0932302
처인구,한숲치과의원,1.0,37.15327211,127.1716679
기흥구,새미소치과의원,1.0,37.26330418,127.1085082
기흥구,갈보리치과의원,1.0,37.27313936,127.1370956
수지구,광교이음치과의원,1.0,37.2973593,127.0696875
수지구,온누리치과의원,1.0,37.31257373,127.0794303
기흥구,연세미소누리치과의원,1.0,37.27652584,127.0715432
수지구,수지주니어치과의원,1.0,37.321688,127.0952936
수지구,이·스마일치과교정과치과의원,1.0,37.32253617,127.0955487
처인구,오케이치과의원,2.0,37.23538362,127.2068358
처인구,열린치과의원,1.0,37.1921972,127.2068339
기흥구,푸른치과의원,1.0,37.28340477,127.1546784
기흥구,행복한미소치과의원,1.0,37.32020166,127.1089807
기흥구,동백열린치과의원,1.0,37.28214761,127.1594446
기흥구,동백트리플에이치과의원,3.0,37.28203082,127.1595805
기흥구,미메이드치과의원,1.0,37.26962826,127.1535909
기흥구,동백탑치과의원,2.0,37.27799636,127.1515898
처인구,용인탑치과의원,1.0,37.23573653,127.2073869
기흥구,양플란트치과의원,1.0,37.29449748,127.1183316
처인구,신우치과의원,1.0,37.26813255,127.2183936
기흥구,신갈트리플에이치과의원,1.0,37.28832921,127.1119435
기흥구,연세웰치과의원,1.0,37.32027179,127.1138674
처인구,건보치과의원,1.0,37.16552222,127.3736693
처인구,연세수치과의원,1.0,37.23576474,127.2078603
처인구,상쾌한치과의원,1.0,37.25768113,127.2128955
기흥구,연세위더스치과의원,1.0,37.27651563,127.073709
기흥구,동백서울유치과의원,2.0,37.27129139,127.1520719
처인구,고릴라치과의원,1.0,37.23161235,127.1878663
기흥구,뉴연세치과의원,2.0,37.27801094,127.1534848
수지구,서울한치과의원,1.0,37.33195808,127.126439
수지구,참사랑치과의원,2.0,37.30676003,127.0846083
수지구,수지탑치과의원,1.0,37.31993867,127.0622001
기흥구,신갈강남치과의원,1.0,37.27410333,127.1113736
수지구,가족애치과의원,1.0,37.3174304,127.0713901
수지구,정성가득미소치과의원,1.0,37.30844282,127.076192
기흥구,열린치과의원,1.0,37.29379051,127.119926
기흥구,모아치과의원,1.0,37.28048314,127.1134954
수지구,죽전아름다운치과의원,1.0,37.33503345,127.1074589
기흥구,보스톤치과의원,1.0,37.27138869,127.1277536
기흥구,연세최태순치과의원,1.0,37.27176532,127.1049001
기흥구,박정제치과의원,1.0,37.27699476,127.1107497
기흥구,조아치과의원,1.0,37.27257651,127.1075916
기흥구,우리가족치과의원,1.0,37.27986378,127.1115358
수지구,연세SK치과의원,1.0,37.31921213,127.0883094
수지구,수지이다치과의원,1.0,37.31435828,127.0793752
기흥구,정다운치과의원,1.0,37.26174098,127.1046593
기흥구,연세플러스치과의원,1.0,37.29416601,127.1189651
기흥구,I-플러스치과의원,1.0,37.27591306,127.0715918
수지구,삼성수치과의원,1.0,37.31687581,127.0982989
기흥구,이프라임치과의원,1.0,37.28112664,127.1118113
기흥구,죽전모아치과의원,2.0,37.32075406,127.1124992
기흥구,연세에이스치과의원,1.0,37.32005304,127.110381
기흥구,구성수치과의원,2.0,37.29349465,127.120424
수지구,빌리지연세치과의원,1.0,37.31311013,127.0781859
수지구,연세수지아이들치과의원,1.0,37.30676003,127.0846083
처인구,서울에스치과의원,1.0,37.27015169,127.2183974
처인구,양지치과의원,1.0,37.23440519,127.2842558
기흥구,이플러스넷치과의원,1.0,37.24389548,127.066643
수지구,소미치과의원,1.0,37.30676003,127.0846083
수지구,최상현치과의원,1.0,37.33295005,127.0963846
수지구,프라임치과의원,1.0,37.34039418,127.0986478
수지구,임태준치과의원,1.0,37.32576666,127.0965811
기흥구,성모플러스치과의원,1.0,37.27123669,127.1281491
기흥구,모든치과의원,1.0,37.30410494,127.1235302
기흥구,라인치과의원,1.0,37.26821304,127.0966515
기흥구,서울리더스치과의원,1.0,37.28880694,127.1119411
처인구,연세치과의원,1.0,37.23570813,127.2068346
처인구,서울김치과의원,1.0,37.235616,127.2060345
기흥구,예스안치과의원,1.0,37.27591306,127.0715918
기흥구,자연치과의원,1.0,37.28107531,127.1442432
수지구,스마트치과의원,1.0,37.3319501,127.1239218
수지구,광교미소바른치과의원,1.0,37.29851993,127.0690942
기흥구,아이티치과의원,1.0,37.2707065,127.0675947
수지구,연세별소아치과치과의원,1.0,37.32737715,127.0957033
기흥구,미소가득치과의원,1.0,37.27486176,127.0800688
수지구,상현프라임치과의원,1.0,37.29820056,127.0705064
수지구,서울성복치과의원,2.0,37.31305001,127.0790213
기흥구,사랑나무치과의원,1.0,37.25797641,127.1425475
처인구,원삼치과의원,2.0,37.16524097,127.3112706
처인구,용인스마트치과의원,2.0,37.23558974,127.2063503
기흥구,비젼플러스치과의원,1.0,37.3198435,127.1152126
처인구,연세치과의원,1.0,37.33713171,127.2493164
기흥구,서울한스마일치과의원,2.0,37.27437741,127.1152524
수지구,옳치과의원,1.0,37.31589689,127.0735657
