지역,사업장명,경도,위도,의사수
수지구,안데르센약국,127.0876577,37.3199328,1
처인구,큰집약국,127.1984514,37.2407619,1
수지구,새모범약국,127.1098259,37.3253071,1
처인구,용인보건당약국,127.1736798,37.2409489,1
기흥구,파란온누리약국,127.1120832,37.3207465,1
기흥구,옵티마소정약국,127.1534754,37.2780227,1
수지구,숨약국,127.1183207,37.3262057,1
기흥구,우리집약국,127.1119587,37.2890492,1
기흥구,서천365약국,127.0733167,37.2360825,1
처인구,소망약국,127.2158234,37.2348987,1
기흥구,사랑약국,127.1521147,37.2961352,1
수지구,하나약국,127.0940873,37.3218315,1
수지구,우리약국,127.0926379,37.3147961,1
처인구,함박약국,127.1867172,37.231292,1
수지구,모범약국,127.0832813,37.3197105,1
기흥구,은혜온누리약국,127.1435038,37.2808503,1
처인구,용인윤약국,127.2140848,37.2675914,1
수지구,좋은약국,127.078796,37.313447,1
수지구,열린온누리약국,127.1142765,37.3286455,1
수지구,수빈약국,127.1149804,37.3284926,1
기흥구,에버그린약국,127.1046502,37.3039754,1
기흥구,한마음약국,127.1059136,37.2441259,1
기흥구,제일가까운약국,127.1281766,37.2712436,1
처인구,옵티마 명성약국,127.2243046,37.3442258,1
기흥구,햇살약국,127.142559,37.2579843,1
수지구,한가정약국,127.0848651,37.3067226,1
기흥구,세명약국,127.1109676,37.2770953,1
처인구,광장약국,127.1878849,37.2316047,1
수지구,수지정다운약국,127.0780476,37.3232084,1
처인구,영미약국,127.2043925,37.2352265,1
기흥구,새봄약국,127.0727242,37.2371504,1
수지구,우리민들레약국,127.1239454,37.3315318,1
수지구,동성약국,127.1093331,37.3299162,1
기흥구,이화약국,127.1111013,37.3140144,1
기흥구,다래약국,127.0898533,37.2261867,1
기흥구,그린약국,127.1099081,37.2543115,1
수지구,재일약국,127.0884528,37.3141542,1
수지구,다솜약국,127.087104,37.3198383,1
처인구,천사약국,127.2178727,37.2698734,1
수지구,수지드림약국,127.0918191,37.3359633,1
수지구,죽전열린약국,127.1092428,37.3267387,1
수지구,행복약국,127.0679198,37.3283772,1
기흥구,선약국,127.1510791,37.2962402,1
수지구,메디플러스약국,127.0953016,37.3239126,1
수지구,수지메디칼약국,127.0990165,37.3407531,1
수지구,수지행복한약국,127.0977277,37.319846,1
기흥구,흥덕제일약국,127.0719049,37.2751142,1
처인구,시장약국,127.2066499,37.2356852,1
수지구,바른생각약국,127.0842808,37.3144634,1
기흥구,성심약국,127.1152614,37.31986,1
기흥구,다올약국,127.1151253,37.3202543,1
처인구,새오약국,127.3110393,37.1650934,1
기흥구,구갈온누리약국,127.1125036,37.2806131,1
처인구,제일약국,127.2070555,37.235411,1
기흥구,푸른약국,127.1146681,37.3207124,1
처인구,신미주사랑약국,127.2066726,37.1921654,1
기흥구,연원마을약국,127.1072867,37.3003072,1
기흥구,온누리우리약국,127.1072867,37.3003072,1
수지구,데이파크약국,127.0787721,37.3134799,1
기흥구,다사랑약국,127.0658492,37.2437182,1
기흥구,하나로약국,127.111688,37.2805527,1
기흥구,천사약국,127.0666477,37.243893,1
처인구,원기약국,127.1881068,37.2327102,1
처인구,꿈빛온누리약국,127.1868966,37.2323506,1
기흥구,동백바른약국,127.1535981,37.2696143,1
처인구,드림약국,127.1782446,37.3432548,1
기흥구,용인강남약국,127.110735,37.2734066,1
수지구,비전약국,127.0960557,37.3219801,1
수지구,미래약국,127.0848651,37.3067226,1
기흥구,팜메드약국,127.1059365,37.271284,1
기흥구,오행당약국,127.1075985,37.2725805,1
기흥구,동백사랑약국,127.1534754,37.2780227,1
기흥구,드림약국,127.1281766,37.2712436,1
처인구,제일365온누리약국,127.2276007,37.2758039,1
기흥구,굿모닝약국,127.1072867,37.3003072,1
처인구,용한약국,127.2057038,37.2354957,1
기흥구,행복가득약국,127.0737226,37.2764914,1
수지구,열린우리약국,127.0773767,37.3236115,1
수지구,셀메드 한사랑약국,127.0864264,37.3150258,1
기흥구,언남현대사약국,127.1189735,37.2941687,1
수지구,5층우리약국,127.0975921,37.3246176,1
처인구,정성약국,127.227081,37.2484905,1
기흥구,우리약국,127.0737831,37.2748281,1
기흥구,신동백약국,127.0456745,37.1773209,1
수지구,광교약국,127.0698593,37.2981498,1
수지구,호수약국,127.1138339,37.3283745,1
기흥구,중앙쉼터약국,127.1125059,37.2946224,1
기흥구,해바라기약국,127.1089962,37.3202104,1
수지구,든든약국,127.0780476,37.3232084,1
수지구,행복플러스약국,127.1239441,37.3319467,1
수지구,성복역 약국,127.0804385,37.3125702,1
기흥구,아이사랑약국,127.1281766,37.2712436,1
기흥구,훼미리약국,127.1234596,37.3034525,1
기흥구,은혜약국,127.159977,37.2817305,1
기흥구,열한시약국,127.1142799,37.3207183,1
수지구,성복온누리약국,127.079704,37.3136568,1
처인구,성모약국,127.3744824,37.1654585,1
처인구,천리약국,127.2072443,37.1925718,1
처인구,연세건강약국,127.1883569,37.2387701,1
처인구,모현중앙약국,127.2498586,37.3369458,1
처인구,용인실로암약국,127.1982396,37.2366922,1
수지구,나무약국,127.0956985,37.3273776,1
처인구,일곱빛약국,127.2502904,37.3386054,1
수지구,원희온누리약국,127.0848651,37.3067226,1
수지구,수지당약국,127.096132,37.3255323,1
처인구,양지현대약국,127.2841158,37.2347184,1
기흥구,한사랑약국,127.1134737,37.2951415,1
기흥구,종로약국,127.0714731,37.2778436,1
기흥구,조은약국,127.1176621,37.2944708,1
기흥구,태평양약국,127.1073678,37.2724596,1
기흥구,상하우리약국,127.1371831,37.2727605,1
기흥구,라라온누리약국,127.0971072,37.2653859,1
기흥구,서울팜약국,127.1538906,37.2697607,1
기흥구,타임약국,127.1201556,37.2941719,1
기흥구,동백키즈약국,127.1442402,37.2810719,1
수지구,미소약국,127.0961245,37.3229103,1
기흥구,누리약국,127.1107808,37.3199559,1
기흥구,보정해맑은 약국,127.1103122,37.307705,1
처인구,민약국,127.1997884,37.2347251,1
